Complaint_Narrative,Product,Sector,Priority_Level,Urgency_Score
✅ Trip Verified |  Delhi to Bengaluru. The flight was supposed to depart at 9:35 am but was delayed to 12:35pm. Me and my husband had a Goair flight to catch from Bengaluru to Kannur at 14:40 hrs. Firstly we missed the Kannur flight and secondly the flight took off from Delhi after another 1.5 hrs delay. No screening of appropriate timings or scheduled departure. No announcements to confirm delays. We were rerouted to Mangalore but had to stay in Mangalore without any compensation.,IndiGo,Aviation,High,9.0
Worst irresponsible service. you are playing with user's trust with misleading fake thumbnails.,Zomato Food Delivery,Food & Beverage,Low,4.0
Branch mein token system hai hi nahi. Aadhe ghante se khada hu sirf ek passbook update ke liye. Time ki koi value nahi hai kya?,Bank of Maharashtra Branch Service,Banking,Low,3.0
the experience is really bad.please guys don't use this app..you should take proof at every step because this guys are cheating with us if we are cancelling the order..please guys never use this app it is fraud,Zomato Food Delivery,Food & Beverage,High,8.5
"Grofers se veggies mangwai thi, saari sadhi hui aayi. Kya fayda online order karne ka?",Grofers Vegetables,Retail,Medium,6.5
"ECS mandate fail ho gaya, jabki balance tha. Ab bounce charges lag gaye. Meri kya galti?",UCO Bank ECS Service,Banking,High,9.0
"✅ Trip Verified |  Doha to Kochi. The check in staff were unprofessional and impolite. I had an excess baggage of 5kg which I took back and repacked without any hesitation, Yet they behaved as if I was handling drugs. I took back only one baggage to repack, leaving the other to them to check in. Coming back after repacking which is a struggle at the airport , these check in staff kept yelling why I kept the bag there.",IndiGo,Aviation,Medium,7.0
"Complained about the sub received which was partly because of missing items. Even provided a clear video. Yet their response, we need both the sub in same frame. Firstly you took over 5 minutes to even respond to my basic query and by then, expect me or my guest to wait for your unbothered bot generated responses? Pathetic and no longer going to use it.",Zomato Food Delivery,Food & Beverage,Medium,7.5
I got a wrong order and these guys did nothing about it.. they always do this,Zomato Food Delivery,Food & Beverage,Medium,7.0
"✅ Trip Verified | One of the worst experiences on a flight. I was heading out from New Delhi to Bangalore and it was not worth the effort. The seats were not as expected cleaned, the seat covers was teared from one side, likewise the seat which is allotted to me don't had the seat movable button since it was broken, so all through the entire excursion I needed to sit truly awkward.",SpiceJet,Aviation,Medium,6.0
Not Verified |  Delhi to Shirdi. Worst airline. Cancelled the trip from Delhi to Shirdi few minutes before the boarding. No heads up and advanced notice. Spent 1000 Rs on uber not to mention the early morning inconvenience with my family. There is zero accountability and 100% incompetence top to bottom.,SpiceJet,Aviation,High,9.5
"Not Verified |  Vistara has given a worst experience of travel during my journey from Ahmedabad to Mumbai on 19 the March 2023. After their confirmation regarding the extra baggage added in the PNR, they didn't allow me to board without charge of extra luggage. It was a hot discussion at the Ahmedabad airport and they treated me with totally rude behaviour and wasted 3 hours at the airport. They don't know the meaning of humbleness and the fact came out that there is not synchronization between their team. Customer team response totally disagreed by their airport team. Since last 35 days, I'm sending chasers to them but received 2 emails that to with incomplete information and denied to give the refund. Worst experience I have ever had in my life for this flight. Highly not recommended. I'm ready to share the further proof if there is a need.",Vistara,Aviation,High,9.0
ordered food but they cancelled the scheduled order. we don't know why they bring scheduled orders if they are unable to deliver it. pathetic. now waiting for the refund and ruined our dinner,Zomato Food Delivery,Food & Beverage,Medium,6.5
"✅ Trip Verified | I have travelled on many flights but SpiceJet was worst experience. They lack ethics, professionalism and most importantly they do not know how to talk to their customers. We were travelling from Goa to Mumbai and we arrived 50 mins prior to boarding and the queue was long, when our turn came they said we were late and they would not provide us with boarding passes. We pleaded with to them but their attitude was so rude. After pleading for 20 mins they gave us boarding passes because we had already done online check in. After all this drama I finally boarded the flight 15 mins early, if they haven’t made this an issue I would have boarded half an hour earlier. I really recommend to please learn hospitality from other airlines, I also travelled with Vistara, Indigo, GoAir and Air India, if their customers are late they actually look for you and make you board the flight without making it an issue. Then why not with SpiceJet, nothing is special on their flights. Timings of their flights are changing frequently without any prior information.",SpiceJet,Aviation,High,8.0
"Business loan ke liye apply kiya, documents submit kiye, ab koi response hi nahi. Time waste kiya.",ICICI Bank Business Loan,Banking,Medium,5.0
"✅ Trip Verified |  Worst experience of my life. I paid more than $1500 to get to India from the US even though there were flights for $900. The reason is that Air India had a non-stop flight from the US. I tried to book online but had problems and had to call about changing my flight. Although I requested English speaking reps on the 800 number, all the people had only elementary understanding of English. And, for some reason, they would hang up the phone in mid-conversation. I even had a friend call and the same happened to her. I ended up talking another airline to India and flying back on Air India which was horrible and I do not recommend it. I also want to warn people. My card was charged almost $1517.49 Air India admitted the problem was on their end but I was only refunded $1253.66 For some reason they decided to keep $264.33 That is the first issue. The second was the actual flight.  I was shocked that they came around the cabin almost 2 hours into the flight with a dixie cup of water. I asked if they had a larger cup because I was very thirsty and the flight attendant either didn't understand English or she pretended she didn't understand English, because she shrugged and walked away. The food was horrible, the seats were horrible and had very little room, non of the screens worked and, even worse, none of the outlets that are in planes for recharging your device worked. When I ran out of battery on my iPad I tried to read but the light did not work in my entire row. One of the worst experiences on multiple levels. please , if you want to protect your money, and your comfort, look for another airlines.",AirIndia,Aviation,High,9.5
